Token,SHAP Importance,Importance Ratio,Cumulative Importance
 hecho,0.0021648582048891555,8.781039152507125e-05,0.9620183232478018
 grande,0.002163386521659372,8.775069750893832e-05,0.9621060739453108
 él,0.0021491872039989864,8.717474863601379e-05,0.9621932486939468
osta,0.002146921218151138,8.708283633245485e-05,0.9622803315302793
 Ava,0.002145883058094316,8.704072676571771e-05,0.9623673722570449
 sa,0.00213688425719738,8.667571984367933e-05,0.9624540479768886
press,0.0021337259095162153,8.654761180139322e-05,0.96254059558869
 DE,0.00212814039806843,8.632105380050885e-05,0.9626269166424904
 sobre,0.0021264003654678145,8.625047506995673e-05,0.9627131671175604
 Las,0.0021260397608536064,8.623584832336989e-05,0.9627994029658837
v,0.002123843142752861,8.61467496955605e-05,0.9628855497155793
 eje,0.0021235572140929954,8.613515193478599e-05,0.962971684867514
 lava,0.002121974581912641,8.60709576374028e-05,0.9630577558251514
 Como,0.002112790592946112,8.569843916709766e-05,0.9631434542643185
26,0.0021103650105722023,8.560005335252176e-05,0.963229054317671
 fast,0.0021027988352050834,8.529315619878043e-05,0.9633143474738698
idi,0.0021027988352050834,8.529315619878043e-05,0.9633996406300686
sell,0.002102205680997728,8.526909683865005e-05,0.9634849097269073
 ni,0.00210210596046795,8.526505200155952e-05,0.9635701747789088
 Ar,0.002099902332863874,8.51756690561766e-05,0.963655350447965
 TO,0.0020870602943680503,8.465477377271111e-05,0.9637400052217377
cin,0.002081178728434624,8.441620729005268e-05,0.9638244214290278
86,0.002079578413557764,8.435129575192831e-05,0.9639087727247797
aro,0.002078853678401737,8.43218992410349e-05,0.9639930946240207
 gusto,0.0020771799609065056,8.425401036580663e-05,0.9640773486343865
34,0.0020738468669793185,8.411881431367022e-05,0.9641614674487002
 aw,0.002073470297558554,8.410354000692855e-05,0.9642455709887071
 días,0.0020724687104423842,8.406291390189372e-05,0.964329633902609
 @,0.0020674361602926903,8.385878496725211e-05,0.9644134926875763
NR,0.002063613977621902,8.370375063010971e-05,0.9644971964382064
garan,0.002063119334675241,8.36836870570252e-05,0.9645808801252634
aq,0.0020605330390742783,8.35787824361095e-05,0.9646644589076996
nda,0.0020595374397742445,8.353839920724925e-05,0.9647479973069069
 etc,0.0020543415735047015,8.3327645888436e-05,0.9648313249527953
gres,0.0020541266373032305,8.331892770450992e-05,0.9649146438804999
uin,0.0020458952146235475,8.298504696965213e-05,0.9649976289274695
 cree,0.0020301327268615332,8.234569321490472e-05,0.9650799746206844
 tendría,0.0020276461783353063,8.224483450778896e-05,0.9651622194551922
nte,0.0020272126139113398,8.222724838518109e-05,0.9652444467035773
 Red,0.0020261560566723347,8.218439259692846e-05,0.9653266310961742
rci,0.002023933272409652,8.20942326243533e-05,0.9654087253287986
 resto,0.0020156831791003547,8.175959457647946e-05,0.9654904849233751
 sob,0.0020143370012728834,8.170499127644547e-05,0.9655721899146515
 Come,0.002008063097794851,8.145051090468145e-05,0.9656536404255562
rte,0.002008063097794851,8.145051090468145e-05,0.9657350909364609
 mismas,0.0020076038781553507,8.143188416217728e-05,0.9658165228206231
DO,0.0020051177634503735,8.133104305160143e-05,0.9658978538636748
lac,0.0020019707447361374,8.120339453180012e-05,0.9659790572582065
ionen,0.0020019707447361374,8.120339453180012e-05,0.9660602606527383
 dos,0.002000751693237827,8.11539476954604e-05,0.9661414146004338
m,0.001999854965178302,8.111757485504962e-05,0.9662225321752889
 corn,0.0019987390782588567,8.107231255238568e-05,0.9663036044878413
its,0.0019973357518514,8.101539120714564e-05,0.9663846198790484
it,0.0019779107021385676,8.022747760761955e-05,0.966464847356656
 Inst,0.001975745679094241,8.013966052992192e-05,0.9665449870171859
ds,0.0019676027804731377,7.980937048392575e-05,0.9666247963876698
dien,0.0019662000150198027,7.975247189195468e-05,0.9667045488595618
orto,0.001958699832903221,7.944825153854817e-05,0.9667839971111003
